Uniform Calendar k,coef(a),std err(a),z(a),P>|z|(a),95% CI Lower(a),95% CI Upper(a),coef(b),std err(b),z(b),P>|z|(b),95% CI Lower(b),95% CI Upper(b),Wald Test Result,T-Test coef,T-Test std err,T-Test t,T-Test P>|t|,T-Test 95% CI Lower,T-Test 95% CI Upper,significance(a),significance(b),significance(wald),significance(t)
42,-0.019043354568473,0.0094814736684003,-2.00848045720365,0.0445922607136019,-0.0376267014789025,-0.0004600076580435,1.7990934122176134,0.2670290772718849,6.737443841689959,1.6119721060467105e-11,1.275726037939756,2.322460786495471,0.0087728415158753,-0.019043354568473,0.0094814736684003,-2.00848045720365,0.0445922607136019,-0.0376267014789025,-0.0004600076580435,**,***,***,**
43,-0.0166187320672385,0.0064350486717618,-2.582534012549829,0.009807769414814,-0.029231195702654,-0.004006268431823,-0.0570395378418926,0.4484871999381509,-0.1271820864670357,0.8987962831670528,-0.9360582972478828,0.8219792215640975,0.009296139232451,-0.0166187320672385,0.0064350486717618,-2.582534012549829,0.009807769414814,-0.029231195702654,-0.004006268431823,***,,***,***
44,-0.0226098704601307,0.0075216790097113,-3.005960561589892,0.0026474333261113,-0.0373520904224357,-0.0078676504978256,0.5607530863845285,0.1659057072407837,3.379950549685981,0.000724988725356,0.2355838753629462,0.8859222974061107,0.001465463773301,-0.0226098704601307,0.0075216790097113,-3.0059605615898914,0.0026474333261114,-0.0373520904224357,-0.0078676504978256,***,***,***,***
45,-0.0081558232912415,0.0073420662913357,-1.11083487503594,0.2666394318920946,-0.0225460087943652,0.0062343622118821,1.527797772186358,0.1943344209669994,7.861694107426284,3.789725908171131e-15,1.1469093061345936,1.9086862382381224,0.0247647053550816,-0.0081558232912415,0.0073420662913357,-1.11083487503594,0.2666394318920946,-0.0225460087943652,0.0062343622118821,,***,**,
46,-0.020858749292572,0.010735974169544,-1.9428837069806264,0.0520302109546108,-0.0419008720038306,0.0001833734186866,3.733813432341002,0.4706251202472379,7.93373169366625,2.1265726422286367e-15,2.8114051464365835,4.656221718245421,5.240609978561621e-09,-0.020858749292572,0.010735974169544,-1.9428837069806264,0.0520302109546108,-0.0419008720038306,0.0001833734186866,*,***,***,*
47,-0.0300208870838878,0.008629263353484,-3.4789629026406974,0.0005033582626783,-0.0469339324698278,-0.0131078416979477,3.2391900934267897,0.3498829038688734,9.257926173611358,2.0844119361877878e-20,2.553432203037508,3.924947983816072,1.2869822568667203e-10,-0.0300208870838878,0.008629263353484,-3.4789629026406974,0.0005033582626783,-0.0469339324698278,-0.0131078416979477,***,***,***,***
48,-0.0196268710136884,0.0090770551098143,-2.1622509477184204,0.0305988384257957,-0.0374175721146098,-0.001836169912767,2.080695889162535,0.1042251362561052,19.963474876634223,1.1446905059352972e-88,1.8764183758167887,2.2849734025082813,8.47373832600295e-36,-0.0196268710136884,0.0090770551098143,-2.1622509477184204,0.0305988384257957,-0.0374175721146098,-0.001836169912767,**,***,***,**
49,-0.0260103106894554,0.0108775513043579,-2.3911917270419765,0.0167937804649735,-0.0473299194859837,-0.0046907018929271,2.3509469395363185,0.3529075509673756,6.661650999226284,2.7076840462380782e-11,1.6592608497680288,3.042633029304608,0.0001996029483568,-0.0260103106894554,0.0108775513043579,-2.391191727041977,0.0167937804649734,-0.0473299194859837,-0.0046907018929271,**,***,***,**
50,-0.0276297728774715,0.0107105980155512,-2.5796666850305208,0.0098895718308218,-0.048622159240838,-0.0066373865141049,1.4831721825697788,0.0484264508787473,30.627315354648253,5.299218640394928e-206,1.388258082948336,1.5780862821912216,1.7337447946327073e-56,-0.0276297728774715,0.0107105980155512,-2.5796666850305208,0.0098895718308218,-0.048622159240838,-0.0066373865141049,***,***,***,***
51,-0.0204832785700618,0.011354162655256,-1.8040325114225737,0.0712262104072074,-0.0427370284489733,0.0017704713088495,1.0332234459490404,0.2142921263464587,4.8215651389756005,1.424361923219691e-06,0.6132185961394744,1.4532282957586062,0.0515078226893237,-0.0204832785700618,0.011354162655256,-1.8040325114225737,0.0712262104072074,-0.0427370284489733,0.0017704713088495,*,***,*,*
52,-0.0182814064354875,0.0059723066276105,-3.061029443962402,0.0022057740201344,-0.0299869123302339,-0.006575900540741,2.204910610375788,0.335472750765289,6.57254756264373,4.9461580035906706e-11,1.5473961010812398,2.8624251196703363,8.442143737459128e-05,-0.0182814064354875,0.0059723066276105,-3.061029443962401,0.0022057740201344,-0.0299869123302339,-0.006575900540741,***,***,***,***
53,-0.0222256896902085,0.0084609840206596,-2.626844541478737,0.0086180696491317,-0.0388089136444703,-0.0056424657359467,1.4471922769101646,0.1261589150388893,11.471185183100676,1.841201228574804e-30,1.1999253471052929,1.6944592067150364,3.1302720865658613e-06,-0.0222256896902085,0.0084609840206596,-2.626844541478737,0.0086180696491317,-0.0388089136444703,-0.0056424657359467,***,***,***,***
54,-0.0258346979933552,0.0100395595297709,-2.573289985157809,0.010073676394223,-0.0455118730923522,-0.0061575228943583,2.1419671077526483,0.0967712539527848,22.134332461969805,1.476834894002966e-108,1.9522989352664109,2.3316352802388858,6.008066319461631e-36,-0.0258346979933552,0.0100395595297709,-2.573289985157809,0.010073676394223,-0.0455118730923522,-0.0061575228943583,**,***,***,**
